stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.28525] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28527] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28530] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28532] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28534] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28535] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28537] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.28540] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.33284] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.33288] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.33869] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.34045] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.34047] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.34051] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.34055] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.34059] Returning d3d_display: 01185F30
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.34062] al_display=01185F30
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.34063] al_display->vt=01177F18
system   D            wsystem.c:721  maybe_parent_dir                 [   0.34086] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.34145] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.34153] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.34196] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.34203] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.34245] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.34253] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.34302] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.34309] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.34321] PathFindOnPath found: C:\Windows\system32\d3dx9_39.dll
system   D            wsystem.c:682  load_library_at_path             [   0.34323] Calling LoadLibrary C:\Windows\system32\d3dx9_39.dll
system   I            wsystem.c:685  load_library_at_path             [   0.35883] Loaded C:\Windows\system32\d3dx9_39.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.35889] Module "d3dx9_39.dll" loaded.
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [   5.14923] destroying display 01185F30 (current 00000000)
